network,model,threshold_setting,threshold,accuracy,precision,recall,f1,mcc,roc_auc
YDIP,Basic MLP,default_threshold(0.5),0.5,0.7773109243697479,0.6739130434782609,0.17714285714285713,0.28054298642533937,0.2616046518766289,0.7094248608534321
YDIP,Basic MLP,tuned_threshold(0.218),0.2179541064111864,0.7282913165266106,0.4602510460251046,0.6285714285714286,0.5314009661835749,0.35480062020268305,0.7094248608534321
YDIP,Advanced Deep NN,default_threshold(0.5),0.5,0.7170868347338936,0.4470588235294118,0.6514285714285715,0.5302325581395348,0.34995773812050285,0.7155632122979063
YDIP,Advanced Deep NN,tuned_threshold(0.460),0.46020515890108,0.7072829131652661,0.4384057971014493,0.6914285714285714,0.5365853658536586,0.3567398079980998,0.7155632122979063
