network,model,threshold_setting,threshold,accuracy,precision,recall,f1,mcc,roc_auc
YDIP,Basic MLP,default_threshold(0.5),0.5,0.7773109243697479,0.6739130434782609,0.17714285714285713,0.28054298642533937,0.2616046518766289,0.7094248608534321
YDIP,Basic MLP,tuned_threshold(0.218),0.2179541064111864,0.7282913165266106,0.4602510460251046,0.6285714285714286,0.5314009661835749,0.35480062020268305,0.7094248608534321
YDIP,Advanced Deep NN,default_threshold(0.5),0.5,0.7170868347338936,0.4470588235294118,0.6514285714285715,0.5302325581395348,0.34995773812050285,0.7155632122979063
YDIP,Advanced Deep NN,tuned_threshold(0.460),0.46020515890108,0.7072829131652661,0.4384057971014493,0.6914285714285714,0.5365853658536586,0.3567398079980998,0.7155632122979063
YDIP,Adam-Optimized DNN,default_threshold(0.5),0.5,0.7871148459383753,0.6619718309859155,0.26857142857142857,0.3821138211382114,0.3220424227987291,0.7220620196130401
YDIP,Adam-Optimized DNN,tuned_threshold(0.238),0.237873641006662,0.757703081232493,0.5051546391752577,0.56,0.5311653116531165,0.3692766762230956,0.7220620196130401
YDIP,Quantum VQC,default_threshold(0.5),0.5,0.7675070028011205,0.6363636363636364,0.12,0.20192307692307693,0.2002349492966347,0.7088311688311689
YDIP,Quantum VQC,tuned_threshold(0.400),0.3996838043833051,0.7464985994397759,0.48333333333333334,0.49714285714285716,0.49014084507042255,0.32155593565936597,0.7088311688311689
