network,model,threshold_setting,threshold,accuracy,precision,recall,f1,mcc,roc_auc
YMBD,Basic MLP,default_threshold(0.5),0.5,0.7057220708446866,0.546875,0.30701754385964913,0.39325842696629215,0.2346338880931902,0.7350391789751058
YMBD,Basic MLP,tuned_threshold(0.257),0.25709393521679275,0.659400544959128,0.4712041884816754,0.7894736842105263,0.5901639344262295,0.36149174201512585,0.7350391789751058
YMBD,Advanced Deep NN,default_threshold(0.5),0.5,0.6948228882833788,0.5054945054945055,0.8070175438596491,0.6216216216216216,0.41767962999422004,0.7519589487552872
YMBD,Advanced Deep NN,tuned_threshold(0.650),0.6496687705484503,0.7166212534059946,0.5403225806451613,0.5877192982456141,0.5630252100840336,0.354580040071375,0.7519589487552872
YMBD,Adam-Optimized DNN,default_threshold(0.5),0.5,0.7275204359673024,0.5514705882352942,0.6578947368421053,0.6,0.3993488763237545,0.7609389085361625
YMBD,Adam-Optimized DNN,tuned_threshold(0.513),0.5134875968120868,0.7356948228882834,0.5648854961832062,0.6491228070175439,0.6040816326530613,0.409363394925476,0.7609389085361625
YMBD,Quantum VQC,default_threshold(0.5),0.5,0.6485013623978202,0.45664739884393063,0.6929824561403509,0.5505226480836237,0.29798196401898347,0.7182580958324666
YMBD,Quantum VQC,tuned_threshold(0.420),0.41953834455885586,0.6049046321525886,0.42790697674418604,0.8070175438596491,0.5592705167173252,0.3014225814953883,0.7182580958324666
