network,model,threshold_setting,threshold,accuracy,precision,recall,f1,mcc,roc_auc
YMBD,Basic MLP,default_threshold(0.5),0.5,0.7057220708446866,0.546875,0.30701754385964913,0.39325842696629215,0.2346338880931902,0.7350391789751058
YMBD,Basic MLP,tuned_threshold(0.257),0.25709393521679275,0.659400544959128,0.4712041884816754,0.7894736842105263,0.5901639344262295,0.36149174201512585,0.7350391789751058
YMBD,Advanced Deep NN,default_threshold(0.5),0.5,0.6948228882833788,0.5054945054945055,0.8070175438596491,0.6216216216216216,0.41767962999422004,0.7519589487552872
YMBD,Advanced Deep NN,tuned_threshold(0.650),0.6496687705484503,0.7166212534059946,0.5403225806451613,0.5877192982456141,0.5630252100840336,0.354580040071375,0.7519589487552872
