network,model,threshold_setting,threshold,accuracy,precision,recall,f1,mcc,roc_auc
YHQ,Basic MLP,default_threshold(0.5),0.5,0.7862595419847328,0.7076923076923077,0.2754491017964072,0.39655172413793105,0.34478118342979286,0.7071390006871503
YHQ,Basic MLP,tuned_threshold(0.249),0.248571639778451,0.7572519083969466,0.521978021978022,0.5688622754491018,0.5444126074498568,0.3800282411397539,0.7071390006871503
YHQ,Advanced Deep NN,default_threshold(0.5),0.5,0.7374045801526717,0.48792270531400966,0.6047904191616766,0.5401069518716578,0.36333087498541766,0.70477078629626
YHQ,Advanced Deep NN,tuned_threshold(0.484),0.4841510987084115,0.7206106870229008,0.463302752293578,0.6047904191616766,0.5246753246753246,0.3376255151336004,0.70477078629626
