network,model,threshold_setting,threshold,accuracy,precision,recall,f1,mcc,roc_auc
YMIPS,Basic MLP,default_threshold(0.5),0.5,0.8006329113924051,0.6753246753246753,0.33986928104575165,0.45217391304347826,0.3767272908702505,0.7429421316195232
YMIPS,Basic MLP,tuned_threshold(0.180),0.17984955951464046,0.6819620253164557,0.404,0.6601307189542484,0.5012406947890818,0.30578722425186944,0.7429421316195232
YMIPS,Advanced Deep NN,default_threshold(0.5),0.5,0.7753164556962026,0.544,0.4444444444444444,0.4892086330935252,0.3499726726500179,0.7298429462251149
YMIPS,Advanced Deep NN,tuned_threshold(0.468),0.46791319388850994,0.7579113924050633,0.5,0.477124183006536,0.4882943143812709,0.33001404669304985,0.7298429462251149
